Name,Description,Stars,URL,Comment,Star_Category,Project_Category,Recommendation
was_changed,A Gemplugin to extend ActiveRecord's dirty objects to AFTER the save is called.,1,https://github.com/Unity-Technologies/was_changed,Low popularity - General Unity package,Düşük Popülerlik,Genel Unity Paketi,Genel kullanıma uygun.
factory_girl,No description,3,https://github.com/Unity-Technologies/factory_girl,Low popularity - General Unity package,Düşük Popülerlik,Genel Unity Paketi,Genel kullanıma uygun.
validates_existence_of,A small plugin to validate the existence of an AR record,2,https://github.com/Unity-Technologies/validates_existence_of,Low popularity - General Unity package,Düşük Popülerlik,Genel Unity Paketi,Genel kullanıma uygun.
panda,Video encoding made easy with AWS,2,https://github.com/Unity-Technologies/panda,Low popularity - General Unity package,Düşük Popülerlik,Genel Unity Paketi,Genel kullanıma uygun.
attachment_fu,"Treat an ActiveRecord model as a file attachment, storing its patch, size, content type, etc.",1,https://github.com/Unity-Technologies/attachment_fu,Low popularity - General Unity package,Düşük Popülerlik,Genel Unity Paketi,Genel kullanıma uygun.
serialize_location_header,Serialize the location header if it exists,3,https://github.com/Unity-Technologies/serialize_location_header,Low popularity - General Unity package,Düşük Popülerlik,Genel Unity Paketi,Genel kullanıma uygun.
mono,"Mono open source ECMA CLI, C# and .NET implementation.",1252,https://github.com/Unity-Technologies/mono,Very popular - General Unity package,Çok Popüler,Genel Unity Paketi,AAA oyunlar için önerilir.
cecil,Cecil is a library to generate and inspect programs and libraries in the ECMA CIL form.,27,https://github.com/Unity-Technologies/cecil,Low popularity - General Unity package,Düşük Popülerlik,Genel Unity Paketi,Genel kullanıma uygun.
monodevelop,MonoDevelop,101,https://github.com/Unity-Technologies/monodevelop,Mid-level popularity - General Unity package,Orta Popüler,Genel Unity Paketi,Genel kullanıma uygun.
boo-md-addins,MonoDevelop addins for Boo-based languages,7,https://github.com/Unity-Technologies/boo-md-addins,Low popularity - General Unity package,Düşük Popülerlik,Genel Unity Paketi,Genel kullanıma uygun.
MonoDevelop.Debugger.Soft.Unity,Soft debugger client for Unity,60,https://github.com/Unity-Technologies/MonoDevelop.Debugger.Soft.Unity,Low popularity - General Unity package,Düşük Popülerlik,Genel Unity Paketi,Genel kullanıma uygun.
unityscript,A JavaScript implementation based on the Boo programming language.,47,https://github.com/Unity-Technologies/unityscript,Low popularity - General Unity package,Düşük Popülerlik,Genel Unity Paketi,Genel kullanıma uygun.
boo-extensions,"Useful extensions, macros and attributes to the boo programming language.",4,https://github.com/Unity-Technologies/boo-extensions,Low popularity - General Unity package,Düşük Popülerlik,Genel Unity Paketi,Genel kullanıma uygun.
boo,The Boo Programming Language.,16,https://github.com/Unity-Technologies/boo,Low popularity - General Unity package,Düşük Popülerlik,Genel Unity Paketi,Genel kullanıma uygun.
monobuildtools,No description,57,https://github.com/Unity-Technologies/monobuildtools,Low popularity - General Unity package,Düşük Popülerlik,Genel Unity Paketi,Genel kullanıma uygun.
mongo-c-driver,C Driver for MongoDB,4,https://github.com/Unity-Technologies/mongo-c-driver,Low popularity - General Unity package,Düşük Popülerlik,Genel Unity Paketi,Genel kullanıma uygun.
ILSpy,.NET Decompiler,31,https://github.com/Unity-Technologies/ILSpy,Low popularity - General Unity package,Düşük Popülerlik,Genel Unity Paketi,Genel kullanıma uygun.
gtk,Fork of http://git.gnome.org/gtk+,6,https://github.com/Unity-Technologies/gtk,Low popularity - General Unity package,Düşük Popülerlik,Genel Unity Paketi,Genel kullanıma uygun.
GooglePlayLicenseVerification,Unity Android plugin example on how to interface the Google Play License Verification (LVL) servers,85,https://github.com/Unity-Technologies/GooglePlayLicenseVerification,Low popularity - General Unity package,Düşük Popülerlik,Genel Unity Paketi,Genel kullanıma uygun.
kaizen,No description,22,https://github.com/Unity-Technologies/kaizen,Low popularity - General Unity package,Düşük Popülerlik,Genel Unity Paketi,Genel kullanıma uygun.
CodeEditor,No description,45,https://github.com/Unity-Technologies/CodeEditor,Low popularity - General Unity package,Düşük Popülerlik,Genel Unity Paketi,Genel kullanıma uygun.
debugger,No description,6,https://github.com/Unity-Technologies/debugger,Low popularity - General Unity package,Düşük Popülerlik,Genel Unity Paketi,Genel kullanıma uygun.
ReferenceRewriter,Make it easy to rewrite references of .net assemblies.,14,https://github.com/Unity-Technologies/ReferenceRewriter,Low popularity - General Unity package,Düşük Popülerlik,Genel Unity Paketi,Genel kullanıma uygun.
katana,"Unity's fork of Buildbot, a Python-based continuous integration testing framework!",140,https://github.com/Unity-Technologies/katana,Mid-level popularity - General Unity package,Orta Popüler,Genel Unity Paketi,Genel kullanıma uygun.
hlsl2glslfork,HLSL to GLSL language translator based on ATI's HLSL2GLSL. Used in Unity.,18,https://github.com/Unity-Technologies/hlsl2glslfork,Low popularity - General Unity package,Düşük Popülerlik,Genel Unity Paketi,Genel kullanıma uygun.
glsl-optimizer,GLSL optimizer based on Mesa's GLSL compiler. Used in Unity for mobile shader optimization.,26,https://github.com/Unity-Technologies/glsl-optimizer,Low popularity - General Unity package,Düşük Popülerlik,Genel Unity Paketi,Genel kullanıma uygun.
SigningHelper,Utility for signing and verifying arbitrary files using .NET signing keys,4,https://github.com/Unity-Technologies/SigningHelper,Low popularity - General Unity package,Düşük Popülerlik,Genel Unity Paketi,Genel kullanıma uygun.
gradle,A powerful build system for the JVM,0,https://github.com/Unity-Technologies/gradle,Low popularity - General Unity package,Düşük Popülerlik,Genel Unity Paketi,Genel kullanıma uygun.
krait-signal-handler,No description,9,https://github.com/Unity-Technologies/krait-signal-handler,Low popularity - General Unity package,Düşük Popülerlik,Genel Unity Paketi,Genel kullanıma uygun.
android-jni-bridge,No description,48,https://github.com/Unity-Technologies/android-jni-bridge,Low popularity - General Unity package,Düşük Popülerlik,Genel Unity Paketi,Genel kullanıma uygun.
debugger-libs,Debugger libraries,11,https://github.com/Unity-Technologies/debugger-libs,Low popularity - General Unity package,Düşük Popülerlik,Genel Unity Paketi,Genel kullanıma uygun.
ios-deploy,"Install and debug iPhone apps from the command line, without using Xcode",47,https://github.com/Unity-Technologies/ios-deploy,Low popularity - General Unity package,Düşük Popülerlik,Genel Unity Paketi,Genel kullanıma uygun.
php-pango,Pango wrapper for PHP,0,https://github.com/Unity-Technologies/php-pango,Low popularity - General Unity package,Düşük Popülerlik,Genel Unity Paketi,Genel kullanıma uygun.
bdwgc,"The Boehm-Demers-Weiser conservative C/C++ Garbage Collector (libgc, bdwgc, boehmgc) ",53,https://github.com/Unity-Technologies/bdwgc,Low popularity - General Unity package,Düşük Popülerlik,Genel Unity Paketi,Genel kullanıma uygun.
libatomic_ops,The atomic_ops project (Atomic memory update operations portable implementation),9,https://github.com/Unity-Technologies/libatomic_ops,Low popularity - General Unity package,Düşük Popülerlik,Genel Unity Paketi,Genel kullanıma uygun.
puppet-homes,Puppet module to manage home directory and ssh keys,0,https://github.com/Unity-Technologies/puppet-homes,Low popularity - General Unity package,Düşük Popülerlik,Genel Unity Paketi,Genel kullanıma uygun.
unity-ads,Unity Ads documentation repository,65,https://github.com/Unity-Technologies/unity-ads,Low popularity - General Unity package,Düşük Popülerlik,Genel Unity Paketi,Genel kullanıma uygun.
puppet-nginx,Puppet Module to manage NGINX on various UNIXes (with added FreeBSD),0,https://github.com/Unity-Technologies/puppet-nginx,Low popularity - General Unity package,Düşük Popülerlik,Genel Unity Paketi,Genel kullanıma uygun.
puppetlabs-concat,File concatenation system for Puppet,0,https://github.com/Unity-Technologies/puppetlabs-concat,Low popularity - General Unity package,Düşük Popülerlik,Genel Unity Paketi,Genel kullanıma uygun.
puppet-pkgng,A Puppet package provider for FreeBSD's PkgNG package manager.,0,https://github.com/Unity-Technologies/puppet-pkgng,Low popularity - General Unity package,Düşük Popülerlik,Genel Unity Paketi,Genel kullanıma uygun.
goamz,Amazon Library for Go,0,https://github.com/Unity-Technologies/goamz,Low popularity - General Unity package,Düşük Popülerlik,Genel Unity Paketi,Genel kullanıma uygun.
nginx-helper-remote-cache,An extension to nginx helper for working with remote caches,0,https://github.com/Unity-Technologies/nginx-helper-remote-cache,Low popularity - General Unity package,Düşük Popülerlik,Genel Unity Paketi,Genel kullanıma uygun.
hooktftp,Hook based tftp server written in Go (golang),0,https://github.com/Unity-Technologies/hooktftp,Low popularity - General Unity package,Düşük Popülerlik,Genel Unity Paketi,Genel kullanıma uygun.
