Name,Description,Stars,URL,Comment
was_changed,A Gemplugin to extend ActiveRecord's dirty objects to AFTER the save is called.,1,https://github.com/Unity-Technologies/was_changed,Düşük popülerlik - Genel Unity paketi
factory_girl,No description,3,https://github.com/Unity-Technologies/factory_girl,Düşük popülerlik - Genel Unity paketi
validates_existence_of,A small plugin to validate the existence of an AR record,2,https://github.com/Unity-Technologies/validates_existence_of,Düşük popülerlik - Genel Unity paketi
panda,Video encoding made easy with AWS,2,https://github.com/Unity-Technologies/panda,Düşük popülerlik - Genel Unity paketi
attachment_fu,"Treat an ActiveRecord model as a file attachment, storing its patch, size, content type, etc.",1,https://github.com/Unity-Technologies/attachment_fu,Düşük popülerlik - Genel Unity paketi
serialize_location_header,Serialize the location header if it exists,3,https://github.com/Unity-Technologies/serialize_location_header,Düşük popülerlik - Genel Unity paketi
mono,"Mono open source ECMA CLI, C# and .NET implementation.",1252,https://github.com/Unity-Technologies/mono,Çok popüler - Genel Unity paketi
cecil,Cecil is a library to generate and inspect programs and libraries in the ECMA CIL form.,27,https://github.com/Unity-Technologies/cecil,Düşük popülerlik - Genel Unity paketi
monodevelop,MonoDevelop,101,https://github.com/Unity-Technologies/monodevelop,Orta düzey popülerlik - Genel Unity paketi
boo-md-addins,MonoDevelop addins for Boo-based languages,7,https://github.com/Unity-Technologies/boo-md-addins,Düşük popülerlik - Genel Unity paketi
MonoDevelop.Debugger.Soft.Unity,Soft debugger client for Unity,60,https://github.com/Unity-Technologies/MonoDevelop.Debugger.Soft.Unity,Düşük popülerlik - Genel Unity paketi
unityscript,A JavaScript implementation based on the Boo programming language.,47,https://github.com/Unity-Technologies/unityscript,Düşük popülerlik - Genel Unity paketi
boo-extensions,"Useful extensions, macros and attributes to the boo programming language.",4,https://github.com/Unity-Technologies/boo-extensions,Düşük popülerlik - Genel Unity paketi
boo,The Boo Programming Language.,16,https://github.com/Unity-Technologies/boo,Düşük popülerlik - Genel Unity paketi
monobuildtools,No description,57,https://github.com/Unity-Technologies/monobuildtools,Düşük popülerlik - Genel Unity paketi
mongo-c-driver,C Driver for MongoDB,4,https://github.com/Unity-Technologies/mongo-c-driver,Düşük popülerlik - Genel Unity paketi
ILSpy,.NET Decompiler,31,https://github.com/Unity-Technologies/ILSpy,Düşük popülerlik - Genel Unity paketi
gtk,Fork of http://git.gnome.org/gtk+,6,https://github.com/Unity-Technologies/gtk,Düşük popülerlik - Genel Unity paketi
GooglePlayLicenseVerification,Unity Android plugin example on how to interface the Google Play License Verification (LVL) servers,85,https://github.com/Unity-Technologies/GooglePlayLicenseVerification,Düşük popülerlik - Genel Unity paketi
kaizen,No description,22,https://github.com/Unity-Technologies/kaizen,Düşük popülerlik - Genel Unity paketi
CodeEditor,No description,45,https://github.com/Unity-Technologies/CodeEditor,Düşük popülerlik - Genel Unity paketi
debugger,No description,6,https://github.com/Unity-Technologies/debugger,Düşük popülerlik - Genel Unity paketi
ReferenceRewriter,Make it easy to rewrite references of .net assemblies.,14,https://github.com/Unity-Technologies/ReferenceRewriter,Düşük popülerlik - Genel Unity paketi
katana,"Unity's fork of Buildbot, a Python-based continuous integration testing framework!",140,https://github.com/Unity-Technologies/katana,Orta düzey popülerlik - Genel Unity paketi
hlsl2glslfork,HLSL to GLSL language translator based on ATI's HLSL2GLSL. Used in Unity.,18,https://github.com/Unity-Technologies/hlsl2glslfork,Düşük popülerlik - Genel Unity paketi
glsl-optimizer,GLSL optimizer based on Mesa's GLSL compiler. Used in Unity for mobile shader optimization.,26,https://github.com/Unity-Technologies/glsl-optimizer,Düşük popülerlik - Genel Unity paketi
SigningHelper,Utility for signing and verifying arbitrary files using .NET signing keys,4,https://github.com/Unity-Technologies/SigningHelper,Düşük popülerlik - Genel Unity paketi
gradle,A powerful build system for the JVM,0,https://github.com/Unity-Technologies/gradle,Düşük popülerlik - Genel Unity paketi
krait-signal-handler,No description,9,https://github.com/Unity-Technologies/krait-signal-handler,Düşük popülerlik - Genel Unity paketi
android-jni-bridge,No description,48,https://github.com/Unity-Technologies/android-jni-bridge,Düşük popülerlik - Genel Unity paketi
debugger-libs,Debugger libraries,11,https://github.com/Unity-Technologies/debugger-libs,Düşük popülerlik - Genel Unity paketi
ios-deploy,"Install and debug iPhone apps from the command line, without using Xcode",47,https://github.com/Unity-Technologies/ios-deploy,Düşük popülerlik - Genel Unity paketi
php-pango,Pango wrapper for PHP,0,https://github.com/Unity-Technologies/php-pango,Düşük popülerlik - Genel Unity paketi
bdwgc,"The Boehm-Demers-Weiser conservative C/C++ Garbage Collector (libgc, bdwgc, boehmgc) ",53,https://github.com/Unity-Technologies/bdwgc,Düşük popülerlik - Genel Unity paketi
libatomic_ops,The atomic_ops project (Atomic memory update operations portable implementation),9,https://github.com/Unity-Technologies/libatomic_ops,Düşük popülerlik - Genel Unity paketi
puppet-homes,Puppet module to manage home directory and ssh keys,0,https://github.com/Unity-Technologies/puppet-homes,Düşük popülerlik - Genel Unity paketi
unity-ads,Unity Ads documentation repository,65,https://github.com/Unity-Technologies/unity-ads,Düşük popülerlik - Genel Unity paketi
puppet-nginx,Puppet Module to manage NGINX on various UNIXes (with added FreeBSD),0,https://github.com/Unity-Technologies/puppet-nginx,Düşük popülerlik - Genel Unity paketi
puppetlabs-concat,File concatenation system for Puppet,0,https://github.com/Unity-Technologies/puppetlabs-concat,Düşük popülerlik - Genel Unity paketi
puppet-pkgng,A Puppet package provider for FreeBSD's PkgNG package manager.,0,https://github.com/Unity-Technologies/puppet-pkgng,Düşük popülerlik - Genel Unity paketi
goamz,Amazon Library for Go,0,https://github.com/Unity-Technologies/goamz,Düşük popülerlik - Genel Unity paketi
nginx-helper-remote-cache,An extension to nginx helper for working with remote caches,0,https://github.com/Unity-Technologies/nginx-helper-remote-cache,Düşük popülerlik - Genel Unity paketi
hooktftp,Hook based tftp server written in Go (golang),0,https://github.com/Unity-Technologies/hooktftp,Düşük popülerlik - Genel Unity paketi
MonoDevelop.UnityMode,A single MonoDevelop Addin that transforms a regular MonoDevelop into a version that is tightly integrated with Unity,19,https://github.com/Unity-Technologies/MonoDevelop.UnityMode,Düşük popülerlik - Genel Unity paketi
MonoDevelop.UnityMode-Build,build script and dependencies for building a unitymode-monodevelop,5,https://github.com/Unity-Technologies/MonoDevelop.UnityMode-Build,Düşük popülerlik - Genel Unity paketi
django-storages,Mirror from bitbucket + fixes,0,https://github.com/Unity-Technologies/django-storages,Düşük popülerlik - Genel Unity paketi
UnityOBBDownloader,"This is Unity plugin for Android, intended to download .obb expansion files from Google Play.",34,https://github.com/Unity-Technologies/UnityOBBDownloader,Düşük popülerlik - Genel Unity paketi
uncrustify,Code beautifier,44,https://github.com/Unity-Technologies/uncrustify,Düşük popülerlik - Genel Unity paketi
editorconfig-visualstudio,EditorConfig Visual Studio Addin,7,https://github.com/Unity-Technologies/editorconfig-visualstudio,Düşük popülerlik - Genel Unity paketi
curl,"Curl is a tool and libcurl is a library for transferring data with URL syntax, supporting FTP, FTPS, HTTP, HTTPS, GOPHER, TFTP, SCP, SFTP, TELNET, DICT, LDAP, LDAPS, FILE, IMAP, SMTP, POP3, RTSP and RTMP. libcurl offers a myriad of powerful features",21,https://github.com/Unity-Technologies/curl,Düşük popülerlik - Genel Unity paketi
temp-salt,Infrastructure automation and management system,8,https://github.com/Unity-Technologies/temp-salt,Düşük popülerlik - Genel Unity paketi
qstat,New official qstat repository,121,https://github.com/Unity-Technologies/qstat,Orta düzey popülerlik - Genel Unity paketi
omnisharp-server,HTTP wrapper around NRefactory allowing C# editor plugins to be written in any language.,4,https://github.com/Unity-Technologies/omnisharp-server,Düşük popülerlik - Genel Unity paketi
winsvc,Windows service library written in go - Forked from http://code.google.com/p/winsvc/,0,https://github.com/Unity-Technologies/winsvc,Düşük popülerlik - Genel Unity paketi
mysql-connector-python,Fork of version 2.0.4 of mysql-connector-python (and probably rebased at points) until upstream issues are fixed.,7,https://github.com/Unity-Technologies/mysql-connector-python,Düşük popülerlik - Genel Unity paketi
puppetlabs-postgresql,Puppet module for managing PostgreSQL,0,https://github.com/Unity-Technologies/puppetlabs-postgresql,Düşük popülerlik - Genel Unity paketi
golang-sys,Go packages for low-level interaction with the operating system,1,https://github.com/Unity-Technologies/golang-sys,Düşük popülerlik - Genel Unity paketi
go-ole,win32 ole implementation for golang,0,https://github.com/Unity-Technologies/go-ole,Düşük popülerlik - Genel Unity paketi
wmi,WMI for Go,1,https://github.com/Unity-Technologies/wmi,Düşük popülerlik - Genel Unity paketi
puppet-redis,No description,0,https://github.com/Unity-Technologies/puppet-redis,Düşük popülerlik - Genel Unity paketi
